ID_ANO	PRG	ANNEE_SCOLAIRE	SITE
76305388	MI	2013/2014	Cergy
76305388	ING2	2013/2014	Cergy
76305388	MAIN	2012/2013	Cergy
76305388	ING1	2012/2013	Cergy
15521974	ING4	2015/2016	Cergy
15521974	BI	2014/2015	Cergy
15521974	ING3	2014/2015	Cergy
15521974	SIE	2013/2014	Cergy
15521974	GI	2013/2014	Cergy
15521974	ING2	2013/2014	Cergy
15521974	MAIN	2012/2013	Cergy
15521974	ING1	2012/2013	Cergy
78786159	ING4	2015/2016	Cergy
78786159	ING3	2014/2015	Cergy
78786159	INEM	2014/2015	Cergy
78786159	GSI	2013/2014	Cergy
78786159	GI	2013/2014	Cergy
78786159	ING2	2013/2014	Cergy
78786159	MAIN	2012/2013	Cergy
78786159	ING1	2012/2013	Cergy
35305134	ING4	2015/2016	Cergy
35305134	ING3	2014/2015	Cergy
35305134	ICOM	2014/2015	Cergy
35305134	SIE	2013/2014	Cergy
35305134	GI	2013/2014	Cergy
35305134	ING2	2013/2014	Cergy
35305134	MAIN	2012/2013	Cergy
35305134	ING1	2012/2013	Cergy
86095674	ING4	2015/2016	Cergy
86095674	ISI (DS)	2014/2015	Cergy
86095674	ING3	2014/2015	Cergy
86095674	DS	2014/2015	Cergy
86095674	MI	2013/2014	Cergy
86095674	ING2	2013/2014	Cergy
86095674	MAIN	2012/2013	Cergy
86095674	ING1	2012/2013	Cergy
66655451	ING4	2015/2016	Cergy
66655451	MASEF	2014/2015	Cergy
66655451	ING3	2014/2015	Cergy
66655451	IFI	2014/2015	Cergy
66655451	MF	2013/2014	Cergy
66655451	ING2	2013/2014	Cergy
66655451	MAAP	2012/2013	Cergy
66655451	ING1	2012/2013	Cergy
1972320	ING3	2015/2016	Cergy
1972320	VISUAL	2015/2016	Cergy
1972320	MI	2014/2015	Cergy
1972320	ING2	2014/2015	Cergy
1972320	MAIN	2013/2014	Cergy
1972320	ING1	2013/2014	Cergy
28490081	ING4	2015/2016	Cergy
28490081	BI	2014/2015	Cergy
28490081	ING3	2014/2015	Cergy
28490081	SIE	2013/2014	Cergy
28490081	GI	2013/2014	Cergy
28490081	ING2	2013/2014	Cergy
28490081	MAIN	2012/2013	Cergy
28490081	ING1	2012/2013	Cergy
69821125	ING4	2015/2016	Cergy
69821125	ING3	2014/2015	Cergy
69821125	VISUAL	2014/2015	Cergy
69821125	MI	2013/2014	Cergy
69821125	ING2	2013/2014	Cergy
69821125	MAIN	2012/2013	Cergy
69821125	ING1	2012/2013	Cergy
60150765	ING4	2015/2016	Cergy
60150765	M104F	2014/2015	Cergy
60150765	ING3	2014/2015	Cergy
60150765	IFI	2014/2015	Cergy
60150765	MF	2013/2014	Cergy
60150765	ING2	2013/2014	Cergy
60150765	MAAP	2012/2013	Cergy
60150765	ING1	2012/2013	Cergy
93013750	ING4	2015/2016	Cergy
93013750	BI	2014/2015	Cergy
93013750	ING3	2014/2015	Cergy
93013750	SIE	2013/2014	Cergy
93013750	GI	2013/2014	Cergy
93013750	ING2	2013/2014	Cergy
93013750	MAIN	2012/2013	Cergy
93013750	ING1	2012/2013	Cergy
54443888	ING4	2015/2016	Cergy
54443888	ISF	2014/2015	Cergy
54443888	ING3	2014/2015	Cergy
54443888	IFI	2014/2015	Cergy
54443888	MF	2013/2014	Cergy
54443888	ING2	2013/2014	Cergy
54443888	MAAP	2012/2013	Cergy
54443888	ING1	2012/2013	Cergy
41880595	ING4	2015/2016	Cergy
41880595	ING3	2014/2015	Cergy
41880595	DS	2014/2015	Cergy
41880595	MI	2013/2014	Cergy
41880595	ING2	2013/2014	Cergy
41880595	MAAP	2012/2013	Cergy
41880595	ING1	2012/2013	Cergy
10043494	ING4	2015/2016	Cergy
10043494	ING3	2014/2015	Cergy
10043494	ICOM	2014/2015	Cergy
10043494	SIE	2013/2014	Cergy
10043494	GI	2013/2014	Cergy
10043494	ING2	2013/2014	Cergy
10043494	MAIN	2012/2013	Cergy
10043494	ING1	2012/2013	Cergy
79594802	ING4	2015/2016	Cergy
79594802	ING3	2014/2015	Cergy
79594802	ICOM	2014/2015	Cergy
79594802	SIE	2013/2014	Cergy
79594802	GI	2013/2014	Cergy
79594802	ING2	2013/2014	Cergy
79594802	MAIN	2012/2013	Cergy
79594802	ING1	2012/2013	Cergy
39399740	ING4	2015/2016	Cergy
39399740	ING3	2014/2015	Cergy
39399740	DS	2014/2015	Cergy
39399740	MI	2013/2014	Cergy
39399740	ING2	2013/2014	Cergy
39399740	MAIN	2012/2013	Cergy
39399740	ING1	2012/2013	Cergy
63717991	ING4	2014/2015	Cergy
63717991	DS	2013/2014	Cergy
63717991	ING3	2013/2014	Cergy
63717991	MI	2012/2013	Cergy
63717991	ING2	2012/2013	Cergy
26681367	ING4	2014/2015	Cergy
26681367	BI	2013/2014	Cergy
26681367	ING3	2013/2014	Cergy
26681367	SIE	2012/2013	Cergy
26681367	ING2	2012/2013	Cergy
9550977	ING4	2014/2015	Cergy
9550977	BI	2014/2015	Cergy
9550977	ING3	2014/2015	Cergy
9550977	ING3	2013/2014	Cergy
9550977	SIE	2012/2013	Cergy
9550977	ING2	2012/2013	Cergy
13156175	ING4	2014/2015	Cergy
13156175	BI	2013/2014	Cergy
13156175	ING3	2013/2014	Cergy
13156175	SIE	2012/2013	Cergy
13156175	ING2	2012/2013	Cergy
65277838	GSI	2012/2013	Cergy
65277838	ING2	2012/2013	Cergy
86532284	ING4	2014/2015	Cergy
86532284	GL	2013/2014	Cergy
86532284	ING3	2013/2014	Cergy
86532284	GSI	2012/2013	Cergy
86532284	ING2	2012/2013	Cergy
54973326	CPI2	2013/2014	Pau
54973326	CPI1	2012/2013	Pau
70077069	CPI2	2014/2015	Pau
70077069	CPI1	2013/2014	Pau
70077069	CPI1	2012/2013	Pau
50169667	CPI2	2013/2014	Pau
50169667	CPI1	2012/2013	Pau
96193164	CPI2	2013/2014	Pau
96193164	CPI1	2012/2013	Pau
31492113	CPI2	2014/2015	Pau
31492113	CPI2	2013/2014	Pau
31492113	CPI1	2012/2013	Pau
60803217	ING4	2015/2016	Pau
60803217	ING3	2014/2015	Pau
60803217	ICC	2014/2015	Pau
60803217	GSI	2013/2014	Pau
60803217	GI	2013/2014	Pau
60803217	ING2	2013/2014	Pau
60803217	MAIN	2012/2013	Pau
60803217	ING1	2012/2013	Pau
67550552	ING4	2015/2016	Cergy
67550552	ING3	2014/2015	Cergy
67550552	VISUAL	2014/2015	Cergy
67550552	MI	2013/2014	Cergy
67550552	ING2	2013/2014	Cergy
67550552	MAIN	2012/2013	Cergy
67550552	ING1	2012/2013	Cergy
96549092	ING3	2014/2015	Pau
96549092	ICC	2014/2015	Pau
96549092	GSI	2013/2014	Pau
96549092	GI	2013/2014	Pau
96549092	ING2	2013/2014	Pau
96549092	MAIN	2012/2013	Pau
96549092	ING1	2012/2013	Pau
80541372	ING4	2015/2016	Cergy
80541372	BI	2014/2015	Cergy
80541372	ING3	2014/2015	Cergy
80541372	SIE	2013/2014	Cergy
80541372	GI	2013/2014	Cergy
80541372	ING2	2013/2014	Cergy
80541372	MAIN	2012/2013	Cergy
80541372	ING1	2012/2013	Cergy
84239897	ING4	2015/2016	Pau
84239897	ING3	2014/2015	Pau
84239897	ICC	2014/2015	Pau
84239897	GSI	2013/2014	Pau
84239897	GI	2013/2014	Pau
84239897	ING2	2013/2014	Pau
84239897	MAIN	2012/2013	Pau
84239897	ING1	2012/2013	Pau
16596674	ING4	2015/2016	Cergy
16596674	ING3	2014/2015	Cergy
16596674	DS	2014/2015	Cergy
16596674	GSI	2013/2014	Cergy
16596674	GI	2013/2014	Cergy
16596674	ING2	2013/2014	Cergy
16596674	MAIN	2012/2013	Cergy
16596674	ING1	2012/2013	Cergy
9030334	ING4	2015/2016	Pau
9030334	ING3	2014/2015	Pau
9030334	ICC	2014/2015	Pau
9030334	GSI	2013/2014	Pau
9030334	GI	2013/2014	Pau
9030334	ING2	2013/2014	Pau
9030334	MAIN	2012/2013	Pau
9030334	ING1	2012/2013	Pau
50565498	ING4	2015/2016	Cergy
50565498	BI	2014/2015	Cergy
50565498	ING3	2014/2015	Cergy
50565498	SIE	2013/2014	Cergy
50565498	GI	2013/2014	Cergy
50565498	ING2	2013/2014	Cergy
50565498	MAIN	2012/2013	Cergy
50565498	ING1	2012/2013	Cergy
13270704	ING4	2015/2016	Pau
13270704	ING3	2014/2015	Pau
13270704	ICC	2014/2015	Pau
13270704	GSI	2013/2014	Pau
13270704	GI	2013/2014	Pau
13270704	ING2	2013/2014	Pau
13270704	MAIN	2012/2013	Pau
13270704	ING1	2012/2013	Pau
56926498	ING1	2014/2015	Pau
56926498	ING1-GI	2014/2015	Pau
56926498	MAIN	2013/2014	Pau
56926498	ING1	2013/2014	Pau
56926498	ING1	2012/2013	Pau
36567532	ING4	2015/2016	Pau
36567532	ING3	2014/2015	Pau
36567532	ICC	2014/2015	Pau
36567532	GSI	2013/2014	Pau
36567532	GI	2013/2014	Pau
36567532	ING2	2013/2014	Pau
36567532	MAIN	2012/2013	Pau
36567532	ING1	2012/2013	Pau
98032161	ING4	2015/2016	Pau
98032161	ING3	2014/2015	Pau
98032161	ICC	2014/2015	Pau
98032161	GSI	2013/2014	Pau
98032161	GI	2013/2014	Pau
98032161	ING2	2013/2014	Pau
98032161	MAIN	2012/2013	Pau
98032161	ING1	2012/2013	Pau
75169797	ING4	2015/2016	Cergy
75169797	BI	2014/2015	Cergy
75169797	ING3	2014/2015	Cergy
75169797	SIE	2013/2014	Cergy
75169797	GI	2013/2014	Cergy
75169797	ING2	2013/2014	Cergy
75169797	MAIN	2012/2013	Cergy
75169797	ING1	2012/2013	Cergy
14393066	ING4	2015/2016	Pau
14393066	ING3	2014/2015	Pau
14393066	ICC	2014/2015	Pau
14393066	GSI	2013/2014	Pau
14393066	GI	2013/2014	Pau
14393066	ING2	2013/2014	Pau
14393066	MAIN	2012/2013	Pau
14393066	ING1	2012/2013	Pau
25022052	CPI2	2014/2015	Cergy
25022052	CPI1	2013/2014	Cergy
25022052	CPI1	2012/2013	Cergy
68160038	GSI	2016/2017	Cergy
68160038	GI	2016/2017	Cergy
68160038	ING2	2016/2017	Cergy
68160038	GI	2015/2016	Cergy
68160038	GSI	2015/2016	Cergy
68160038	ING2	2015/2016	Cergy
68160038	ING1	2014/2015	Cergy
68160038	ING1-GI	2014/2015	Cergy
68160038	CPI2	2013/2014	Cergy
68160038	CPI1	2012/2013	Cergy
23938460	ING4	2015/2016	Cergy
23938460	ING3	2014/2015	Cergy
23938460	DS	2014/2015	Cergy
23938460	MI	2013/2014	Cergy
23938460	ING2	2013/2014	Cergy
23938460	MAIN	2012/2013	Cergy
23938460	ING1	2012/2013	Cergy
10160533	QFRM2	2014/2015	Cergy
10160533	ADEO1	2013/2014	Cergy
24883403	ADEO2	2014/2015	Cergy
24883403	ADEO1	2013/2014	Cergy
46630845	ING3	2011/2012	Cergy
46630845	ICOM	2011/2012	Cergy
17974480	ING3	2011/2012	Cergy
17974480	ICOM	2011/2012	Cergy
69710935	IERP	2012/2013	Cergy
69710935	SIE3A	2012/2013	Cergy
69710935	ING3	2012/2013	Cergy
93834540	BI	2012/2013	Cergy
93834540	SIE3A	2012/2013	Cergy
93834540	ING3	2012/2013	Cergy
94112099	ICOM	2012/2013	Cergy
94112099	SIE3A	2012/2013	Cergy
94112099	ING3	2012/2013	Cergy
86960843	BI	2012/2013	Cergy
86960843	SIE3A	2012/2013	Cergy
86960843	ING3	2012/2013	Cergy
88894867	ICOM	2012/2013	Cergy
88894867	ING3	2012/2013	Cergy
88894867	ING3	2011/2012	Cergy
88894867	IFI	2011/2012	Cergy
61384761	ING3	2012/2013	Cergy
61384761	ING3	2011/2012	Cergy
61384761	BI	2011/2012	Cergy
52879631	CPI1-PAU	2014/2015	Pau
52879631	CPI1	2014/2015	Pau
92342619	CPI1-PAU	2014/2015	Pau
92342619	CPI1	2014/2015	Pau
